track,target,regime_type,regime,n,v10 best_rmse,v10 best_rmse_lo,v10 best_rmse_hi,winner
twopx,T_C,T,800<=T<1000,1,0.1424924683299195,,,v10 best
twopx,T_C,T,1000<=T<1200,30,89.5806396926598,68.83245794579805,107.621074607627,v10 best
twopx,T_C,T,1200<=T<1400,15,50.04088403018423,36.24882795914547,63.64848717585392,v10 best
twopx,T_C,T,T>=1400,2,4.796856611604392,,,v10 best
twopx,T_C,T,ALL,48,79.53579684431216,65.18850553792056,93.30557967349657,v10 best
universal,T_C,T,T<800,7,303.3243563062262,274.4304427280084,325.7434136344332,v10 best
universal,T_C,T,800<=T<1000,97,99.87351038416216,74.48916557589179,126.08348820224538,v10 best
universal,T_C,T,1000<=T<1200,443,71.76401910344444,65.18628764695045,78.19141722389013,v10 best
universal,T_C,T,1200<=T<1400,317,77.2738550616626,68.51050651115189,85.8415037214182,v10 best
universal,T_C,T,T>=1400,141,301.69970280994335,261.9282737176815,339.0623086431377,v10 best
universal,T_C,T,ALL,1005,143.70943987497077,127.78321050282295,159.81075198435448,v10 best
