track,target,regime_type,regime,n,v10 best_rmse,Putirka_rmse,v10 best_rmse_lo,Putirka_rmse_lo,v10 best_rmse_hi,Putirka_rmse_hi,winner,Agreda_rmse,Jorgenson_rmse,Wang_rmse,Agreda_rmse_lo,Jorgenson_rmse_lo,Wang_rmse_lo,Agreda_rmse_hi,Jorgenson_rmse_hi,Wang_rmse_hi
opx_liq,P_kbar,T,800<=T<1000,4,0.1839973678612729,4.736703272725361,0.0689272619221261,2.897563978756222,0.281832422949986,6.039605846138364,v10 best,,,,,,,,,
opx_liq,P_kbar,T,1000<=T<1200,31,2.8546862381240925,3.851679023612876,2.341811929018652,2.166443235564376,3.332309302612139,5.3045365598602165,v10 best,,,,,,,,,
opx_liq,P_kbar,T,1200<=T<1400,109,3.442908567150231,3.81687412947914,2.65159216697898,3.311670500011092,4.297348662242026,4.321726722501296,v10 best,,,,,,,,,
opx_liq,P_kbar,T,T>=1400,30,5.430829731049641,4.916649271851672,3.3366744816730605,3.0008202232232075,7.686770772100552,6.733120096306375,Putirka,,,,,,,,,
opx_liq,P_kbar,T,ALL,174,3.8156075924116495,4.750309233457235,3.095868179159089,3.813504194268678,4.491098147444123,5.748618806510647,v10 best,,,,,,,,,
opx_only,P_kbar,T,800<=T<1000,22,5.866644280813866,2.7923735603024524,4.67596078506994,1.7046853101241977,7.10137082130495,3.791280070789375,Putirka,,,,,,,,,
opx_only,P_kbar,T,1000<=T<1200,78,7.12517405846038,4.683413053012875,5.846523454868618,3.739991668400898,8.288894269643706,5.527076859844747,Putirka,,,,,,,,,
opx_only,P_kbar,T,1200<=T<1400,63,4.929950412958855,13.630804268027994,3.737735800264373,7.763500171782208,6.125550680626728,18.300141051537786,v10 best,,,,,,,,,
opx_only,P_kbar,T,T>=1400,27,20.231293699692245,25.0656633594341,7.438209948711272,13.049692716553707,31.874058734438307,35.79027690562149,v10 best,,,,,,,,,
opx_only,P_kbar,T,ALL,190,10.327722797494394,13.337426168244214,7.006525071742839,9.322560316429968,14.10101876005092,17.338844542716142,v10 best,,,,,,,,,
cpx_liq,P_kbar,T,T<800,7,2.939354035388958,6.822340506409911,,0.6126033050420193,,11.34948856085138,v10 best,4.615763208544902,6.260794901387315,13.964467591649386,3.167083281050625,4.526587057657458,5.946631556275407,5.6199910810312375,8.203815832687368,20.30175254935537
cpx_liq,P_kbar,T,800<=T<1000,52,3.2801537669336542,6.362161875168353,2.625903547277048,5.482892620410732,3.9581377832275817,7.2315751879110675,Jorgenson,3.178073159701799,3.126068275968568,9.46750302417462,1.829548419123665,2.204878995776737,6.078215936490053,4.260533906897031,3.97333771727749,12.957927125617834
cpx_liq,P_kbar,T,1000<=T<1200,267,4.289544827908614,4.8507489017542245,3.790657720443983,4.438588131154002,4.840697638420758,5.292013807929598,Agreda,3.77084460529706,3.979694958844177,4.909495890346758,3.2510215622660543,3.503353221352242,4.510587516556052,4.329143722323572,4.484007608172671,5.331674605783742
cpx_liq,P_kbar,T,1200<=T<1400,242,3.249289993984016,3.5046283492803125,2.898913151495718,3.037632825964618,3.6228377332886272,4.039935759381249,v10 best,4.817085906291075,4.199229351770222,7.283388768938973,3.659176819226088,3.420245676261409,5.662348557273823,5.871047116142597,4.957933059506179,8.811618922072379
cpx_liq,P_kbar,T,T>=1400,86,13.640742095435924,8.132484962585659,5.148276382929279,4.825318119867143,22.12655518319112,11.129544165472277,Putirka,23.290388441533608,22.97361396283441,22.66682374566114,13.582872922562323,13.369662748001591,14.864426622340416,33.57978883958676,33.41047204599632,30.134719598304976
cpx_liq,P_kbar,T,ALL,654,6.536933057636693,5.481340246933859,4.399255205330501,4.753882630520934,8.898435249263336,6.317980969217098,Putirka,9.314120906172828,9.142791098769893,10.45675225836832,5.852092843616005,5.677253852380511,8.015736106770417,12.861265046923451,12.630888197648275,12.741235097336055
cpx_only,P_kbar,T,T<800,14,25.7023729737873,13.966828020995818,18.82328951387481,9.788485704715397,31.672641225036845,17.069816020364357,Jorgenson,6.956182171990565,6.254995443621304,,4.854294357055675,4.8630218791544655,,8.691477492484722,7.410375353987573,
cpx_only,P_kbar,T,800<=T<1000,93,9.081584600589624,10.246647614220558,5.682251608157926,6.089872249290974,12.80056339807992,14.260222679935392,v10 best,13.037757430898914,13.108747949288286,,8.706718543870185,8.7951664560665,,16.890930931723844,16.93965907252879,
cpx_only,P_kbar,T,1000<=T<1200,229,7.987257788287566,6.40204233161526,4.661032312295816,4.504904597491485,11.007219694167306,8.51205299670868,Putirka,11.80823307141499,11.513723461971622,,6.6364997013798455,6.310937708454515,,16.534121151479496,16.24475272382719,
cpx_only,P_kbar,T,1200<=T<1400,301,8.394983330691321,8.191243953522175,6.414907803686551,4.830494432526182,10.642063810494518,12.08760732501356,Putirka,10.786445747228166,10.300695066499395,,7.375406313335271,6.799975363528661,,14.114199625007512,13.672397817542189,
cpx_only,P_kbar,T,T>=1400,147,13.074290088828706,19.116654863765618,10.09980966802266,12.798967415329466,15.459126002200051,24.821153188932488,v10 best,34.68026410000102,34.00906655655674,,26.25043244102255,25.713992696122148,,42.47484609462764,41.70748829849519,
cpx_only,P_kbar,T,ALL,784,13.38548353994582,11.827069399048248,11.537983534679276,9.528170321121683,15.312711482363197,13.93209429672486,Putirka,18.21907694309427,17.8158958589918,,14.71756961707184,14.38302625139178,,21.268203567951875,20.812480506614,
twopx,P_kbar,T,800<=T<1000,1,0.8550865177865572,,,,,,v10 best,,,,,,,,,
twopx,P_kbar,T,1000<=T<1200,30,3.5585388752025384,,2.344371766018674,,4.826982949837458,,v10 best,,,,,,,,,
twopx,P_kbar,T,1200<=T<1400,15,2.470672568226392,,1.5035226302100366,,3.308960143913928,,v10 best,,,,,,,,,
twopx,P_kbar,T,T>=1400,2,8.939210878500017,,,,,,v10 best,,,,,,,,,
twopx,P_kbar,T,ALL,48,4.270601483978543,,3.0042314861703474,,5.302694643099959,,v10 best,,,,,,,,,
