track,target,regime_type,regime,n,v10 best_rmse,Putirka_rmse,Agreda_rmse,v10 best_rmse_lo,Putirka_rmse_lo,Agreda_rmse_lo,v10 best_rmse_hi,Putirka_rmse_hi,Agreda_rmse_hi,winner
cpx_liq,P_kbar,T,T<800,7,2.939354035388958,6.822340506409911,4.615763208544902,,0.6126033050420193,3.167083281050625,,11.34948856085138,5.6199910810312375,v10 best
cpx_liq,P_kbar,T,800<=T<1000,52,3.2801537669336542,6.362161875168353,3.178073159701799,2.625903547277048,5.482892620410732,1.829548419123665,3.9581377832275817,7.2315751879110675,4.260533906897031,Agreda
cpx_liq,P_kbar,T,1000<=T<1200,267,4.289544827908614,4.8507489017542245,3.77084460529706,3.790657720443983,4.438588131154002,3.2510215622660543,4.840697638420758,5.292013807929598,4.329143722323572,Agreda
cpx_liq,P_kbar,T,1200<=T<1400,242,3.249289993984016,3.5046283492803125,4.817085906291075,2.898913151495718,3.037632825964618,3.659176819226088,3.6228377332886272,4.039935759381249,5.871047116142597,v10 best
cpx_liq,P_kbar,T,T>=1400,86,13.640742095435924,8.132484962585659,23.290388441533608,5.148276382929279,4.825318119867143,13.582872922562323,22.12655518319112,11.129544165472277,33.57978883958676,Putirka
cpx_liq,P_kbar,T,ALL,654,6.536933057636693,5.481340246933859,9.314120906172828,4.399255205330501,4.753882630520934,5.852092843616005,8.898435249263336,6.317980969217098,12.861265046923451,Putirka
cpx_only,P_kbar,T,T<800,14,25.7023729737873,13.966828020995818,6.956182171990565,18.82328951387481,9.788485704715397,4.854294357055675,31.672641225036845,17.069816020364357,8.691477492484722,Agreda
cpx_only,P_kbar,T,800<=T<1000,93,9.081584600589624,10.246647614220558,13.037757430898914,5.682251608157926,6.089872249290974,8.706718543870185,12.80056339807992,14.260222679935392,16.890930931723844,v10 best
cpx_only,P_kbar,T,1000<=T<1200,229,7.987257788287566,6.40204233161526,11.80823307141499,4.661032312295816,4.504904597491485,6.6364997013798455,11.007219694167306,8.51205299670868,16.534121151479496,Putirka
cpx_only,P_kbar,T,1200<=T<1400,301,8.394983330691321,8.191243953522175,10.786445747228166,6.414907803686551,4.830494432526182,7.375406313335271,10.642063810494518,12.08760732501356,14.114199625007512,Putirka
cpx_only,P_kbar,T,T>=1400,147,13.074290088828706,19.116654863765618,34.68026410000102,10.09980966802266,12.798967415329466,26.25043244102255,15.459126002200051,24.821153188932488,42.47484609462764,v10 best
cpx_only,P_kbar,T,ALL,784,13.38548353994582,11.827069399048248,18.21907694309427,11.537983534679276,9.528170321121683,14.71756961707184,15.312711482363197,13.93209429672486,21.268203567951875,Putirka
