track,target,regime_type,regime,n,v10 best_rmse,Putirka_rmse,v10 best_rmse_lo,Putirka_rmse_lo,v10 best_rmse_hi,Putirka_rmse_hi,winner,Agreda_rmse,Agreda_rmse_lo,Agreda_rmse_hi
opx_liq,T_C,P,shallow_crustal,47,23.46950633881204,25.52386491004583,15.89141880707666,16.322299801938634,30.399238774216897,33.87126520329394,v10 best,,,
opx_liq,T_C,P,deep_crustal_MASH,61,78.46430905099997,87.478244585471,29.84621120696413,34.61176623241711,113.07245600455008,120.82591085642228,v10 best,,,
opx_liq,T_C,P,lithospheric_mantle,58,93.6982941619437,79.65209323346028,77.3082758020947,54.88681970960786,111.1697136465202,107.4102978196712,Putirka,,,
opx_liq,T_C,P,deeper_mantle,8,105.60448966787888,85.50088439343597,75.14059808384383,14.779992112598048,127.72885380107336,123.49854522264356,Putirka,,,
opx_liq,T_C,P,P<5,47,23.46950633881204,25.52386491004583,15.89141880707666,16.322299801938634,30.399238774216897,33.87126520329394,v10 best,,,
opx_liq,T_C,P,5<=P<10,11,26.99693075620125,43.05383431564114,18.19419322072136,25.11115305736651,33.911607130537966,61.834276991897056,v10 best,,,
opx_liq,T_C,P,10<=P<20,81,88.39705464243298,97.5424605819897,59.901658384693285,66.44421037971956,114.05284108015664,124.69060606455014,v10 best,,,
opx_liq,T_C,P,20<=P<40,32,92.13619545183693,41.75979287048987,75.4342302923007,25.166107463436195,108.57740781905812,59.65656743776615,Putirka,,,
opx_liq,T_C,P,P>=40,3,20.42691487038246,138.78169697824586,,61.86349747944814,,173.83154150171276,v10 best,,,
opx_liq,T_C,P,P<20 (Agreda range),139,70.9452377004952,75.04185292051386,50.28898270545541,53.38873184651102,88.98762681146053,96.25147909594811,v10 best,,,
opx_liq,T_C,P,ALL,174,77.06189003628756,71.67099988574215,62.5596545488733,53.75200941121946,91.65291211264,88.73601447822817,Putirka,,,
opx_only,T_C,P,shallow_crustal,48,108.26393553740846,,90.89507136454576,,122.97443047124844,,v10 best,,,
opx_only,T_C,P,deep_crustal_MASH,76,109.4706940925614,,86.56489055742749,,132.7306617153341,,v10 best,,,
opx_only,T_C,P,lithospheric_mantle,37,70.43110350960156,,57.66093129864717,,84.5174455043863,,v10 best,,,
opx_only,T_C,P,deeper_mantle,29,247.6055597185693,,167.1849036983914,,313.4356851386966,,v10 best,,,
opx_only,T_C,P,P<5,48,108.26393553740846,,90.89507136454576,,122.97443047124844,,v10 best,,,
opx_only,T_C,P,5<=P<10,20,136.72745260404955,,95.58181482349922,,174.78682408457817,,v10 best,,,
opx_only,T_C,P,10<=P<20,84,87.91253119013115,,74.0778195311647,,105.38064643249356,,v10 best,,,
opx_only,T_C,P,20<=P<40,23,108.0061871055684,,69.22833068809462,,152.08663904261883,,v10 best,,,
opx_only,T_C,P,P>=40,15,321.17960283260385,,205.1489044512156,,406.9685695857516,,v10 best,,,
opx_only,T_C,P,P<20 (Agreda range),152,112.0194959545199,,100.43117889852364,,124.71725269112768,,v10 best,,,
opx_only,T_C,P,ALL,190,147.98216692463086,,122.7087117014196,,172.97094905112644,,v10 best,,,
cpx_liq,T_C,P,shallow_crustal,268,41.964592753525686,42.381778008291896,35.70117491991811,36.78896452548666,48.41442891624588,48.463091391259056,Agreda,30.090520931716757,25.87483007547621,34.35867503994642
cpx_liq,T_C,P,deep_crustal_MASH,187,49.188484373061904,53.67050032828461,39.09557949865117,46.57973374028993,61.23169143432815,61.71063142787857,Agreda,47.52511441844224,35.67542344842888,61.1443992065764
cpx_liq,T_C,P,lithospheric_mantle,143,74.90377152234805,79.11757559385225,65.10954068577415,64.6787210220573,85.3531993419506,93.50243179993986,Agreda,42.58283614019763,36.47354428476008,48.44673899114178
cpx_liq,T_C,P,deeper_mantle,56,131.0439680760057,66.11667558955591,65.01797656683947,57.7928834105256,195.7230827060503,74.98229691241386,Putirka,243.66707054006844,138.74762004123215,326.76670355826303
cpx_liq,T_C,P,P<5,268,41.964592753525686,42.381778008291896,35.70117491991811,36.78896452548666,48.41442891624588,48.463091391259056,Agreda,30.090520931716757,25.87483007547621,34.35867503994642
cpx_liq,T_C,P,5<=P<10,46,41.794596704052026,49.049904318599474,31.36048390558333,35.725944484748496,52.855224968219225,62.616004226534734,v10 best,42.37894244636617,27.749639050981664,55.70596307603704
cpx_liq,T_C,P,10<=P<20,210,53.25455027241373,63.07099591911056,44.581623570517365,54.95081734223068,63.63873797016501,72.40783909650796,Agreda,44.4102167940765,33.894737187185434,57.25148924952176
cpx_liq,T_C,P,20<=P<40,115,64.54999091903109,78.25224129264578,53.38204784529429,61.36772438368633,75.07300466071344,94.16417027418382,Agreda,45.27873639839332,38.3144428217181,51.88991596401461
cpx_liq,T_C,P,P>=40,15,279.04797299195155,96.31682345980724,146.3317067232394,66.12806886656958,382.9362362898663,129.84174834096268,Putirka,467.1923729877597,264.93775229992,611.8192099205445
cpx_liq,T_C,P,P<20 (Agreda range),524,48.455513445294095,52.19287377966492,42.61266239077561,47.51295716444991,55.05378684759223,57.05589951849192,Agreda,37.56543289785632,32.02180259951478,44.07727323187408
cpx_liq,T_C,P,ALL,654,71.57088937329678,63.42823974860093,59.34856430894059,57.57579389236727,85.83921407742562,69.45016968514587,Putirka,80.60596491815518,49.84194622530415,109.046876294744
cpx_only,T_C,P,shallow_crustal,236,82.18030659436342,118.74673396365768,71.96996513083889,106.63323866390398,92.69405563779657,129.39395502015293,Agreda,67.52487393282607,55.90773970310228,80.33050860546444
