track,target,regime_type,regime,n,v10 best_rmse,Putirka_rmse,v10 best_rmse_lo,Putirka_rmse_lo,v10 best_rmse_hi,Putirka_rmse_hi,winner,Agreda_rmse,Agreda_rmse_lo,Agreda_rmse_hi
opx_liq,T_C,T,800<=T<1000,4,188.98857856298693,259.22627144854306,57.436492972306944,86.76655947417926,261.0256978336783,356.18546261076006,v10 best,,,
opx_liq,T_C,T,1000<=T<1200,31,89.57173508137309,98.28473438544997,48.44383598783472,57.50535334768109,124.06937647609104,132.27309631464098,v10 best,,,
opx_liq,T_C,T,1200<=T<1400,109,52.0604311427692,39.40123220680199,41.8453845023994,29.943916129253008,63.27850634064598,48.07486426964824,Putirka,,,
opx_liq,T_C,T,T>=1400,30,88.20007750084355,61.07540587320734,73.84611495504188,34.03404843417522,103.347684987182,82.70849756263067,Putirka,,,
opx_liq,T_C,T,ALL,174,77.06189003628756,71.67099988574215,62.5596545488733,53.75200941121946,91.65291211264,88.73601447822817,Putirka,,,
opx_only,T_C,T,800<=T<1000,22,165.55514904789374,,128.59505479344787,,203.91679137383665,,v10 best,,,
opx_only,T_C,T,1000<=T<1200,78,107.34433549310286,,92.16641007964895,,121.21312245199204,,v10 best,,,
opx_only,T_C,T,1200<=T<1400,63,71.7705653930206,,62.61757810431573,,80.87979919123188,,v10 best,,,
opx_only,T_C,T,T>=1400,27,249.93803724914855,,168.4532784371097,,323.8474664975637,,v10 best,,,
opx_only,T_C,T,ALL,190,147.98216692463086,,122.7087117014196,,172.97094905112644,,v10 best,,,
cpx_liq,T_C,T,T<800,7,129.35402161391423,114.10816786122348,31.583949283678173,28.177691605954426,195.1478182338844,189.37789281616023,Agreda,63.074963495109806,17.23868831390147,100.8892440433454
cpx_liq,T_C,T,800<=T<1000,52,59.21162328010579,108.0628000254459,45.32017049233594,94.67815418378548,71.22186433984497,119.8817332564498,Agreda,31.83104295644937,25.800395131945532,37.3434804695069
cpx_liq,T_C,T,1000<=T<1200,267,39.28131385666088,51.80918036999893,33.4501304382304,43.549387501094174,44.74313456782244,62.11969579831248,Agreda,27.53644511452719,22.680481476069385,32.756644818162826
cpx_liq,T_C,T,1200<=T<1400,242,51.61008290836888,48.52849558810661,42.935750946958095,39.76125933142578,63.28832818797216,58.04147870820428,Agreda,46.86021787642652,37.80596309969124,57.67709980408864
cpx_liq,T_C,T,T>=1400,86,109.5505387810513,65.9111808182821,65.34072012488876,59.18761781213433,160.91330535937013,72.55116582419397,Putirka,199.8503712143378,115.12306049713392,284.1177678788546
cpx_liq,T_C,T,ALL,654,71.57088937329678,63.42823974860093,59.34856430894059,57.57579389236727,85.83921407742562,69.45016968514587,Putirka,80.60596491815518,49.84194622530415,109.046876294744
cpx_only,T_C,T,T<800,14,353.7493754689488,520.3926079550938,305.652936722545,430.7319050937823,392.6924417970864,585.7110426619681,v10 best,356.8937364279468,299.1314277303667,399.0677890888024
cpx_only,T_C,T,800<=T<1000,93,157.65952333286558,338.2419923635635,143.63726435966473,304.5957987440789,173.35243035274422,374.8536506070778,Agreda,110.6598573314196,97.21383067774585,122.5667119483866
cpx_only,T_C,T,1000<=T<1200,229,77.96523822408965,164.13816756356232,67.3196038314909,131.66335356508807,89.05677779694928,199.0452911546969,Agreda,62.0325001580779,53.16084048300732,72.37912141587162
cpx_only,T_C,T,1200<=T<1400,301,68.10914644513359,103.4973941830555,58.94468802282963,77.21353403631173,78.1938468672198,131.17384172352183,Agreda,49.06283889346621,42.29960552033975,57.0095670991502
cpx_only,T_C,T,T>=1400,147,144.9316671487153,92.83240058227044,122.55642589285432,74.57266482524699,166.05544664462568,110.91694863379296,Putirka,190.3750690809172,152.22412399314095,229.95918241851209
cpx_only,T_C,T,ALL,784,127.34987708248194,177.91548550553242,114.36633830048802,161.00690604712065,140.5058753923805,192.9344449789779,Agreda,112.11949305453702,98.6822956035653,127.49529745410204
twopx,T_C,T,800<=T<1000,1,0.1424924683299195,,,,,,v10 best,,,
twopx,T_C,T,1000<=T<1200,30,89.5806396926598,,68.83245794579805,,107.621074607627,,v10 best,,,
twopx,T_C,T,1200<=T<1400,15,50.04088403018423,,36.24882795914547,,63.64848717585392,,v10 best,,,
twopx,T_C,T,T>=1400,2,4.796856611604392,,,,,,v10 best,,,
twopx,T_C,T,ALL,48,79.53579684431216,,65.18850553792056,,93.30557967349657,,v10 best,,,
