track,target,regime_type,regime,n,v10 best_rmse,Putirka_rmse,Agreda_rmse,v10 best_rmse_lo,Putirka_rmse_lo,Agreda_rmse_lo,v10 best_rmse_hi,Putirka_rmse_hi,Agreda_rmse_hi,winner
cpx_liq,T_C,P,shallow_crustal,268,41.964592753525686,42.381778008291896,30.090520931716757,35.70117491991811,36.78896452548666,25.87483007547621,48.41442891624588,48.463091391259056,34.35867503994642,Agreda
cpx_liq,T_C,P,deep_crustal_MASH,187,49.188484373061904,53.67050032828461,47.52511441844224,39.09557949865117,46.57973374028993,35.67542344842888,61.23169143432815,61.71063142787857,61.1443992065764,Agreda
cpx_liq,T_C,P,lithospheric_mantle,143,74.90377152234805,79.11757559385225,42.58283614019763,65.10954068577415,64.6787210220573,36.47354428476008,85.3531993419506,93.50243179993986,48.44673899114178,Agreda
cpx_liq,T_C,P,deeper_mantle,56,131.0439680760057,66.11667558955591,243.66707054006844,65.01797656683947,57.7928834105256,138.74762004123215,195.7230827060503,74.98229691241386,326.76670355826303,Putirka
cpx_liq,T_C,P,P<5,268,41.964592753525686,42.381778008291896,30.090520931716757,35.70117491991811,36.78896452548666,25.87483007547621,48.41442891624588,48.463091391259056,34.35867503994642,Agreda
cpx_liq,T_C,P,5<=P<10,46,41.794596704052026,49.049904318599474,42.37894244636617,31.36048390558333,35.725944484748496,27.749639050981664,52.855224968219225,62.616004226534734,55.70596307603704,v10 best
cpx_liq,T_C,P,10<=P<20,210,53.25455027241373,63.07099591911056,44.4102167940765,44.581623570517365,54.95081734223068,33.894737187185434,63.63873797016501,72.40783909650796,57.25148924952176,Agreda
cpx_liq,T_C,P,20<=P<40,115,64.54999091903109,78.25224129264578,45.27873639839332,53.38204784529429,61.36772438368633,38.3144428217181,75.07300466071344,94.16417027418382,51.88991596401461,Agreda
cpx_liq,T_C,P,P>=40,15,279.04797299195155,96.31682345980724,467.1923729877597,146.3317067232394,66.12806886656958,264.93775229992,382.9362362898663,129.84174834096268,611.8192099205445,Putirka
cpx_liq,T_C,P,P<20 (Agreda range),524,48.455513445294095,52.19287377966492,37.56543289785632,42.61266239077561,47.51295716444991,32.02180259951478,55.05378684759223,57.05589951849192,44.07727323187408,Agreda
cpx_liq,T_C,P,ALL,654,71.57088937329678,63.42823974860093,80.60596491815518,59.34856430894059,57.57579389236727,49.84194622530415,85.83921407742562,69.45016968514587,109.046876294744,Putirka
cpx_only,T_C,P,shallow_crustal,236,82.18030659436342,118.74673396365768,67.52487393282607,71.96996513083889,106.63323866390398,55.90773970310228,92.69405563779657,129.39395502015293,80.33050860546444,Agreda
cpx_only,T_C,P,deep_crustal_MASH,193,86.66983578919685,120.3353312522283,64.28579818665631,73.62583184428122,102.38862324958468,51.50503372982728,101.9258773331632,139.79381208869333,77.62844859828614,Agreda
cpx_only,T_C,P,lithospheric_mantle,213,134.80640893508917,186.63351458108815,100.5502617137754,110.74339744041464,157.15246797767858,76.6933053830991,162.9086031293329,213.46780317423145,122.24646013526102,Agreda
cpx_only,T_C,P,deeper_mantle,142,165.9916230552162,285.2353481165337,202.59434754923112,142.54007184627483,233.0022438300224,163.4355094970278,187.915262768876,329.41109958489795,238.61851428524005,v10 best
cpx_only,T_C,P,P<5,236,82.18030659436342,118.74673396365768,67.52487393282607,71.96996513083889,106.63323866390398,55.90773970310228,92.69405563779657,129.39395502015293,80.33050860546444,Agreda
cpx_only,T_C,P,5<=P<10,43,85.56792241031437,168.31042082482696,74.45942904497883,69.5984486745646,139.88424970332036,60.54870689910352,100.7008821589046,192.92200233502368,89.36806968947336,Agreda
cpx_only,T_C,P,10<=P<20,296,105.25446624239623,134.3960946651953,71.79040678954225,89.1200279986088,114.07215344905536,54.79344701637535,121.80749120999906,154.4174111203882,89.45341297988222,Agreda
cpx_only,T_C,P,20<=P<40,148,129.30514824811272,171.2969685753769,108.5953284199316,90.55441000884788,131.72728557052017,85.19140110256666,177.08934006657597,206.2772779655011,132.33717170204488,Agreda
cpx_only,T_C,P,P>=40,61,221.6472072602894,436.82456558130025,293.93108258639194,187.4514250760713,365.3744656328941,244.832030946516,254.88349684012863,490.8935858070974,350.48567928041746,v10 best
cpx_only,T_C,P,P<20 (Agreda range),575,96.1366809505148,131.15224154443953,70.27909348676249,87.01140265643791,119.83915473284348,60.95726132073181,105.54478178764197,143.52469964953363,79.60084415242953,Agreda
cpx_only,T_C,P,ALL,784,127.34987708248194,177.91548550553242,112.11949305453702,114.36633830048802,161.00690604712065,98.6822956035653,140.5058753923805,192.9344449789779,127.49529745410204,Agreda
