target,P_kbar,P_kbar.1,T_C,T_C.1
method_family,Putirka,our_method,Putirka,our_method
regime,,,,
shallow_crustal,3.886363899698184,2.6629062653698017,25.52386491004583,23.46950633881204
deep_crustal_MASH,2.3144340490953392,2.078945257682617,87.478244585471,78.46430905099997
lithospheric_mantle,4.659726169083871,4.538469782286738,79.65209323346028,93.6982941619437
deeper_mantle,8.51948552579252,4.555771723826939,85.50088439343597,105.60448966787888
