CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,LOCATION COMMENT,ROCK NAME,ROCK TEXTURE,LAND/SEA (SAMPLING),LATITUDE (MIN.),LATITUDE (MAX.),LONGITUDE (MIN.),LONGITUDE (MAX.),SiO2,TiO2,Al2O3,Cr2O3,FeO_total,MnO,MgO,CaO,Na2O,K2O,FeO,Fe2O3,lat,lon
[67] CLAGUE D. A. (1988),samp. 17-5B-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 17 / NORTHERN RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.98,18.99,-155.27,-155.28,55.6,0.11,1.64,0.68,5.68,0.13,33.3,1.29,0.07,,,,18.985,-155.275
[67] CLAGUE D. A. (1988),samp. 17-5B-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 17 / NORTHERN RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.98,18.99,-155.27,-155.28,55.0,0.15,2.25,0.6,5.53,0.13,33.0,1.26,0.07,,,,18.985,-155.275
[67] CLAGUE D. A. (1988),samp. 27-4A-3,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.88,18.88,-155.25,-155.27,56.4,0.0001,1.87,0.64,5.59,0.15,33.9,1.26,0.09,,,,18.88,-155.26
[67] CLAGUE D. A. (1988),samp. 27-4A-3,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.88,18.88,-155.25,-155.27,57.3,0.0001,1.52,0.52,5.17,0.13,34.5,0.89,0.07,,,,18.88,-155.26
[67] CLAGUE D. A. (1988),samp. 27-4AB-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.88,18.88,-155.25,-155.27,56.9,0.0001,1.69,0.61,5.66,0.13,33.7,1.47,0.03,,,,18.88,-155.26
[67] CLAGUE D. A. (1988),samp. 27-27C-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.88,18.88,-155.25,-155.27,56.4,0.07,1.59,0.71,5.75,0.13,33.2,1.43,0.09,,,,18.88,-155.26
[67] CLAGUE D. A. (1988),samp. 27-27C-1,SEAMOUNT,HAWAIIAN ISLANDS / LOIHI / DREDGE 27 / SOUTH RIFT ZONE,,"HARZBURGITE, XENOLITH",PORPHYROCLASTIC TO CATACLASTIC,subaquatic,18.88,18.88,-155.25,-155.27,56.4,0.03,1.79,0.71,5.8,0.13,33.3,1.39,0.08,,,,18.88,-155.26
[88] FODOR R. V. (1997),samp. C20,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,"WEHRLITE, XENOLITH","ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,55.0,0.34,1.5,0.19,11.3,0.24,30.7,0.9,0.01,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C77,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,"WEHRLITE, XENOLITH","ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,54.2,0.27,1.4,0.15,13.7,0.3,29.5,0.84,0.01,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C12,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,"CLINOPYROXENITE, OLIVINE, XENOLITH","ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,53.2,0.32,5.0,0.28,11.5,0.22,31.3,0.62,0.04,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C21,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,"CLINOPYROXENITE, OLIVINE, XENOLITH","ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,55.0,0.35,1.4,0.14,13.5,0.26,29.2,1.0,0.05,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C75G,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,55.1,0.41,1.2,0.08,11.6,0.24,30.0,1.2,0.03,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C17,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,GABBRO,"ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,54.8,0.4,1.6,0.31,11.3,0.18,30.3,1.2,0.05,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A2,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,55.4,0.78,1.5,0.36,11.5,0.23,30.8,0.73,0.03,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A14,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,"ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,54.7,0.41,1.5,0.22,11.9,0.22,30.6,0.95,0.01,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A21,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,53.6,0.38,1.4,0.16,14.2,0.3,28.4,0.99,0.04,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A7,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,54.8,0.46,1.5,0.15,14.2,0.18,28.6,0.74,0.01,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A13,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,54.6,0.45,1.4,0.15,13.5,0.18,28.2,1.7,0.05,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A5,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,54.5,0.35,1.3,0.11,14.2,0.23,28.5,1.3,0.03,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C50,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,GABBRO,"ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,54.3,0.48,1.5,0.12,13.9,0.24,28.3,1.5,0.02,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C3,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,GABBRO,"ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,53.2,0.33,1.3,0.04,16.7,0.31,26.4,0.93,0.01,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A3,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,54.8,0.28,1.1,0.04,14.9,0.22,28.7,0.86,0.04,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A10,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,54.0,0.48,1.4,0.13,14.6,0.22,27.9,1.6,0.01,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C4,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,GABBRO,FINE-GRAINED MOSAIC,subaerial,19.83,19.83,-155.42,-155.42,52.2,0.35,1.2,0.03,18.2,0.36,25.8,0.99,0.05,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. A2-2,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KALEPEAMOA CONE,GABBRO,FINE-GRAINED MOSAIC,subaerial,19.83,19.83,-155.42,-155.42,53.4,0.39,1.4,0.03,16.8,0.42,26.5,1.2,0.03,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. B4,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,CONE B,GABBRO,ANHEDRAL GRANULAR,subaerial,19.83,19.83,-155.42,-155.42,54.1,0.29,1.3,0.01,16.8,0.26,26.5,1.2,0.01,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C19C,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,GABBRO,"ANHEDRAL GRANULAR, MOSAIC",subaerial,19.83,19.83,-155.42,-155.42,52.3,0.24,1.1,0.01,20.0,0.43,24.6,0.86,0.01,,,,19.83,-155.42
[88] FODOR R. V. (1997),samp. C19F,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES,KILOHANA CONE,GABBRO,FINE-GRAINED MOSAIC,subaerial,19.83,19.83,-155.42,-155.42,53.5,0.32,1.3,0.01,19.1,0.39,24.7,1.1,0.02,,,,19.83,-155.42
[186] KYSER T. K. (1981),samp. 32A,RIFT VOLCANICS,MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD,,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,subaerial,30.47,30.47,-115.97,-115.97,52.4,0.17,6.0,0.48,7.91,0.14,32.2,1.08,0.04,,,,30.47,-115.97
[186] KYSER T. K. (1981),samp. 32B,RIFT VOLCANICS,MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD,,"LHERZOLITE, SPINEL, XENOLITH",FOLIATED WITH SLIGHT BANDING OF PYROXENE AND OLIVINE,subaerial,30.47,30.47,-115.97,-115.97,53.2,0.09,5.9,0.52,6.51,0.11,33.4,0.85,0.02,,,,30.47,-115.97
[186] KYSER T. K. (1981),samp. 32C,RIFT VOLCANICS,MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD,,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,subaerial,30.47,30.47,-115.97,-115.97,52.8,0.09,5.9,0.5,7.01,0.11,33.0,0.98,0.04,,,,30.47,-115.97
[186] KYSER T. K. (1981),samp. 32D,RIFT VOLCANICS,MEXICAN BASIN AND RANGE / WESTERN MEXICAN BASIN AND RANGE (GULF EXTENSIONAL  / BAJA CALIFORNIA / SAN QUINTIN VOLCANIC FIELD,,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,subaerial,30.47,30.47,-115.97,-115.97,53.0,0.6,5.9,0.6,6.52,0.1,32.6,1.9,0.1,,,,30.47,-115.97
[186] KYSER T. K. (1981),samp. DH-1,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / DISH HILL CINDER CONE,MOJAVE DESERT,"LHERZOLITE, SPINEL, XENOLITH",ALLOTRIOMORPHIC GRANULAR,subaerial,34.75,34.75,-115.0,-115.0,53.3,0.16,5.2,0.6,6.72,0.16,33.3,0.75,0.1,,,,34.75,-115.0
[186] KYSER T. K. (1981),samp. SC-1,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / JEMEZ LINEAMENT (RATON HOTSPOT) / ARIZONA / SAN CARLOS VOLCANIC FIELD,,"LHERZOLITE, SPINEL, XENOLITH",,subaerial,33.37,33.37,-110.48,-110.48,52.8,0.21,5.4,0.55,6.7,0.14,35.0,0.88,0.1,,,,33.37,-110.48
[186] KYSER T. K. (1981),samp. UM-2,RIFT VOLCANICS,RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / POTRILLO VOLCANIC FIELD - KILBOURNE HOLE MAAR,"KILBOURNE HOLE, DONA ANA COUNTY","LHERZOLITE, SPINEL, XENOLITH",COARSE ALLOTRIOMORPHIC,subaerial,32.0,32.0,-107.0,-107.0,53.8,0.16,5.0,0.35,6.2,0.12,33.6,0.7,0.07,,,,32.0,-107.0
[186] KYSER T. K. (1981),samp. UM-5,RIFT VOLCANICS,RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / POTRILLO VOLCANIC FIELD - KILBOURNE HOLE MAAR,"KILBOURNE HOLE, DONA ANA COUNTY","LHERZOLITE, SPINEL, XENOLITH",FINE FOLIATED TEXTURE,subaerial,32.0,32.0,-107.0,-107.0,53.3,0.15,4.7,0.27,8.4,0.18,32.3,0.7,0.03,,,,32.0,-107.0
[186] KYSER T. K. (1981),samp. UM-9,RIFT VOLCANICS,RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / POTRILLO VOLCANIC FIELD - KILBOURNE HOLE MAAR,"KILBOURNE HOLE, DONA ANA COUNTY","LHERZOLITE, SPINEL, XENOLITH",COARSE ALLOTRIOMORPHIC,subaerial,32.0,32.0,-107.0,-107.0,53.5,0.1,5.2,0.32,6.4,0.16,33.2,0.77,0.1,,,,32.0,-107.0
[222] WRIGHT T. L. (1996),samp. KP-24,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,,BASALT,,subaerial,19.5,19.5,-154.83,-154.83,53.2,0.61,1.39,0.08,16.4,0.34,25.2,2.36,0.03,,,,19.5,-154.83
[222] WRIGHT T. L. (1996),samp. KP-24,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,,BASALT,,subaerial,19.5,19.5,-154.83,-154.83,52.6,0.67,1.28,0.0001,16.4,0.25,25.9,2.28,0.0001,,,,19.5,-154.83
[222] WRIGHT T. L. (1996),samp. KP-26_SCORIA1,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / KILAUEA / EAST RIFT ZONE / SHIELD STAGE / PUNA BASALT,,BASALT,,subaerial,19.5,19.5,-154.83,-154.83,53.8,0.66,1.02,0.05,16.7,0.3,25.4,2.37,0.05,,,,19.5,-154.83
[235] BOHRSON W. A. (1988),samp. 65-60-75,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,54.6,0.21,3.1,0.42,10.7,0.21,29.9,1.67,0.07,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 67KAP-1,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,54.6,0.15,2.36,0.58,10.2,0.21,29.9,1.57,0.08,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 65-115-112,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,55.2,0.21,2.63,0.44,9.99,0.2,30.4,1.55,0.08,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 63KAP-9,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,54.4,0.17,2.57,0.53,9.69,0.19,30.2,1.6,0.08,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 68KAP-2,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,54.8,0.2,2.9,0.5,9.61,0.18,30.6,1.56,0.07,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 66KAP-4,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,54.3,0.17,2.76,0.62,9.47,0.19,30.4,1.52,0.07,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 65-60-73,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,55.3,0.11,2.64,0.59,9.42,0.18,30.4,1.74,0.12,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 65-7-158,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,54.7,0.16,2.37,0.51,9.39,0.21,30.5,1.53,0.08,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 65KAP-12,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,55.1,0.13,2.24,0.65,9.41,0.2,30.5,1.58,0.06,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 65-25-100,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,54.7,0.13,2.46,0.6,9.18,0.19,30.4,1.55,0.09,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 87KAP-2,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,53.9,0.17,2.9,0.46,10.2,0.19,29.6,1.64,0.09,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 65-115-55,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, OLIVINE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,55.5,0.11,2.73,0.53,8.28,0.18,31.6,1.08,0.06,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 87KAP-4,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEBSTERITE, OLIVINE, XENOLITH",POIKILITIC,subaerial,19.75,19.75,-155.93,-155.93,53.7,0.18,2.89,0.51,10.5,0.19,29.4,1.58,0.09,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 65-109-72,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,NOT GIVEN,,subaerial,19.75,19.75,-155.93,-155.93,55.7,0.26,2.2,0.42,8.51,0.18,31.8,1.3,0.09,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 68KAP-1,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEHRLITE, XENOLITH",,subaerial,19.75,19.75,-155.93,-155.93,52.7,0.26,4.83,0.46,10.1,0.21,29.3,1.32,0.07,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 65WALT-1,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEHRLITE, XENOLITH",,subaerial,19.75,19.75,-155.93,-155.93,55.2,0.15,2.68,0.48,9.63,0.21,30.3,1.89,0.08,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 82-1800-3,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"WEHRLITE, XENOLITH",,subaerial,19.75,19.75,-155.93,-155.93,54.1,0.19,3.3,0.44,9.96,0.22,30.3,1.53,0.07,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. HAW1801-15,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"CLINOPYROXENITE, XENOLITH",,subaerial,19.75,19.75,-155.93,-155.93,52.7,0.24,4.22,0.44,11.3,0.21,28.3,1.46,0.06,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 84-1801-6,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"CLINOPYROXENITE, XENOLITH",,subaerial,19.75,19.75,-155.93,-155.93,52.9,0.18,4.58,0.53,10.9,0.21,28.5,1.53,0.07,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 87KAP-6,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"CLINOPYROXENITE, XENOLITH",,subaerial,19.75,19.75,-155.93,-155.93,53.0,0.2,4.28,0.46,10.6,0.2,29.3,1.42,0.11,,,,19.75,-155.93
[235] BOHRSON W. A. (1988),samp. 87KAP-16,OCEAN ISLAND,HAWAIIAN ISLANDS / HAWAII / HUALALAI / KAUPULEHU FLOW,,"CLINOPYROXENITE, XENOLITH",,subaerial,19.75,19.75,-155.93,-155.93,52.8,0.27,4.56,0.39,10.9,0.21,28.7,1.38,0.06,,,,19.75,-155.93
[249] HART S. R. (1996),samp. KHX-1_UNLEACHED,RIFT VOLCANICS,RIO GRANDE RIFT / ALBUQUERQUE BASIN / NEW MEXICO / POTRILLO VOLCANIC FIELD - KILBOURNE HOLE MAAR,"KILBOURNE HOLE, DONA ANA COUNTY","LHERZOLITE, XENOLITH",COARSE ALLOTRIOMORPHIC,subaerial,32.0,32.0,-107.0,-107.0,54.94,0.147,5.22,0.376,6.47,0.14,32.81,0.814,0.107,,,,32.0,-107.0
[308] BAUER G. R. (1973),samp. K73,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / WAIANAE / WAIANAE SERIES,BOTTOM OF KAUAOPUU RIDGE,RHYODACITE,"VITROPHYRIC, VAGUE TRACHYTIC",subaerial,21.43,21.43,-158.18,-158.18,56.6,0.21,0.95,0.22,9.7,0.3,31.0,1.5,0.02,,,,21.43,-158.18
[308] BAUER G. R. (1973),samp. K73,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / WAIANAE / WAIANAE SERIES,BOTTOM OF KAUAOPUU RIDGE,RHYODACITE,"VITROPHYRIC, VAGUE TRACHYTIC",subaerial,21.43,21.43,-158.18,-158.18,55.6,0.26,1.2,0.14,12.7,0.41,28.3,1.6,0.03,,,,21.43,-158.18
[332] SEN G. (1986),samp. 77KALI-1,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,KALIHI VENT,"DUNITE, XENOLITH",,subaerial,21.34,21.34,-157.85,-157.85,54.66,0.12,1.1,0.15,10.58,0.1,31.03,0.77,0.01,0.0001,,,21.34,-157.85
[337] GARCIA M. O. (1987),samp. KA107,OCEAN ISLAND,HAWAIIAN ISLANDS / KAULA / REJUVENATED STAGE,,"PYROXENITE, CLINOPYROXENE",ALLOTRIOMORPHIC GRANULAR,subaerial,21.66,21.66,-160.55,-160.55,48.6,0.29,10.85,0.03,13.75,0.28,24.12,2.07,0.09,0.0001,,,21.66,-160.55
[337] GARCIA M. O. (1987),samp. KA107,OCEAN ISLAND,HAWAIIAN ISLANDS / KAULA / REJUVENATED STAGE,,"PYROXENITE, CLINOPYROXENE",ALLOTRIOMORPHIC GRANULAR,subaerial,21.66,21.66,-160.55,-160.55,49.75,0.12,9.95,0.04,12.74,0.31,25.56,2.01,0.09,,,,21.66,-160.55
[359] SEN G. (1988),samp. 77KAPS-8,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,KAAU VENT,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,subaerial,21.34,21.34,-157.85,-157.85,54.72,0.18,4.59,0.18,7.11,0.02,32.53,0.68,0.11,,,,21.34,-157.85
[359] SEN G. (1988),samp. 77KAPS-8,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,KAAU VENT,"LHERZOLITE, SPINEL, XENOLITH",PORPHYROCLASTIC,subaerial,21.34,21.34,-157.85,-157.85,53.92,0.14,4.75,0.23,7.04,0.04,32.34,1.06,0.09,,,,21.34,-157.85
[359] SEN G. (1988),samp. 77KAPS-17,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,KAAU VENT,"LHERZOLITE, SPINEL, XENOLITH",ALLOTRIOMORPHIC GRANULAR,subaerial,21.34,21.34,-157.85,-157.85,55.52,0.15,4.19,0.15,6.79,0.06,33.17,0.61,0.1,,,,21.34,-157.85
