CITATION,SAMPLE NAME,TECTONIC SETTING,LOCATION,ROCK NAME,lat,lon,SiO2_Opx,TiO2_Opx,Al2O3_Opx,Cr2O3_Opx,FeO_total_Opx,MnO_Opx,MgO_Opx,CaO_Opx,Na2O_Opx,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,Cr2O3_Cpx,FeO_total_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx
[10032] BECCALUVA L. (1989),samp. A413N,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA,"HARZBURGITE, XENOLITH",40.4,8.65,54.58,0.12,4.61,0.43,6.25,0.11,33.1,0.74,0.1,51.98,0.44,6.72,0.85,2.77,0.06,14.9,20.32,1.62
[10032] BECCALUVA L. (1989),samp. A416N,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA,"LHERZOLITE, XENOLITH",40.4,8.65,55.67,0.09,2.94,0.57,6.35,0.19,32.72,0.63,0.05,54.22,0.07,4.29,1.42,2.7,0.0,15.99,19.14,1.96
[10032] BECCALUVA L. (1989),samp. LL284B,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.28,9.58,54.95,0.07,3.14,0.29,6.44,0.17,34.07,0.57,0.09,53.13,0.38,5.11,0.72,3.19,0.12,15.63,20.49,1.77
[10032] BECCALUVA L. (1989),samp. LL284C,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.28,9.58,55.56,0.03,3.11,0.51,5.61,0.17,33.52,0.59,0.03,53.6,0.08,3.78,1.11,2.32,0.09,16.57,22.0,1.28
[10032] BECCALUVA L. (1989),samp. LL284E,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.28,9.58,55.47,0.05,3.92,0.42,7.0,0.19,31.86,0.62,0.13,51.87,0.31,7.39,1.17,3.44,0.15,14.27,18.72,2.42
[10032] BECCALUVA L. (1989),samp. LL284G,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.28,9.58,54.55,0.11,4.49,0.38,6.39,0.12,32.8,0.54,0.14,53.18,0.55,6.63,0.71,2.77,0.12,14.69,19.67,2.49
[10032] BECCALUVA L. (1989),samp. LL36,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / MONTE ARANA,"PERIDOTITE, XENOLITH",40.6,8.7,57.34,0.0001,1.8,0.55,5.45,0.16,34.8,0.64,0.0001,54.06,0.1,1.8,0.7,2.06,0.16,17.86,22.88,0.35
[10032] BECCALUVA L. (1989),samp. LL56,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.4,8.65,55.8,0.06,2.65,0.57,5.57,0.12,34.36,0.61,0.23,53.86,0.13,4.1,1.47,2.85,0.08,15.46,18.99,2.5
[10032] BECCALUVA L. (1989),samp. OD8F,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA,"PERIDOTITE, XENOLITH",40.28,9.58,54.56,0.1,4.04,0.39,6.42,0.18,33.23,0.73,0.06,52.91,0.39,5.0,0.6,3.26,0.13,15.63,21.29,1.47
[10041] CIONI R. (1982),samp. 42,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA / MONTE ARCI VOLCANIC COMPLEX,BASALT,39.7,8.8,54.144999999999996,0.29000000000000004,2.24,0.0001,12.594999999999999,0.28,28.53,1.845,0.06,51.12,1.01,1.99,0.0,10.38,0.31,16.25,15.67,0.29
[10086] GUO FENG (2007),samp. 04YJ-2,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JILIN PROVINCE,"ANDESITE, CLINOPYROXENE",42.77,129.42,56.894999999999996,0.025,1.52,0.020050000000000002,8.58,0.10500000000000001,32.89,0.6950000000000001,0.04,54.195,0.225,1.19,0.445,3.2299999999999995,0.055,17.255000000000003,22.405,0.32999999999999996
[10086] GUO FENG (2007),samp. 04YJ-5,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / JILIN PROVINCE,"ANDESITE, CLINOPYROXENE",42.77,129.42,57.41,0.12,1.54,0.11,6.58,0.12,33.52,1.07,0.08,53.86,0.22,1.07,0.28,3.11,0.1,18.0,22.06,0.41
[10138] KURAT G. (1971),samp. LHERZOLITH,INTRAPLATE VOLCANICS,CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONI / STYRIAN BASIN,"LHERZOLITE, SPINEL, XENOLITH",46.85,15.94,54.7,0.0001,5.4,0.41,6.6,0.16,32.0,0.83,0.06,52.3,0.0,7.4,0.87,3.2,0.13,14.6,19.1,1.7
[10160] WANG JIAN (2007),samp. BXE-32-I,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"PERIDOTITE, SPINEL",-50.53,-72.65,55.22,0.07,3.585,0.52,6.025,0.15,33.0,0.925,0.025,52.665,0.21,4.01,0.785,2.8449999999999998,0.1,17.39,21.58,0.5900000000000001
[10160] WANG JIAN (2007),samp. BXE-32-II,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"PERIDOTITE, SPINEL",-50.53,-72.65,54.84,0.07,3.575,0.56,6.225,0.15,32.864999999999995,0.925,0.04,52.315,0.18,3.9699999999999998,0.815,2.9299999999999997,0.095,17.225,21.535,0.575
[10160] WANG JIAN (2007),samp. BXE-32-III,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"PERIDOTITE, SPINEL",-50.53,-72.65,55.025,0.07,3.565,0.52,5.99,0.14500000000000002,32.95,0.935,0.04,52.2,0.19,3.955,0.81,2.815,0.1,17.32,21.585,0.535
[10160] WANG JIAN (2007),samp. BXE1,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"LHERZOLITE, SPINEL, XENOLITH",-50.53,-72.65,54.315,0.09,3.275,0.26,9.865,0.235,30.79,0.55,0.025,51.275,0.55,4.62,0.63,3.7649999999999997,0.12,15.364999999999998,22.195,0.77
[10160] WANG JIAN (2007),samp. BXE11,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"PERIDOTITE, SPINEL",-50.53,-72.65,56.09,0.07500000000000001,2.34,0.43000000000000005,5.785,0.14,34.105000000000004,0.65,0.045,53.285,0.2,3.115,0.79,2.3049999999999997,0.08,17.14,22.119999999999997,0.845
[10160] WANG JIAN (2007),samp. BXE11-I,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"PERIDOTITE, SPINEL",-50.53,-72.65,55.75,0.07,2.435,0.43,5.895,0.14500000000000002,33.675,0.645,0.025,52.989999999999995,0.195,3.0300000000000002,0.73,2.31,0.07500000000000001,17.085,22.095,0.77
[10160] WANG JIAN (2007),samp. BXE22,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"LHERZOLITE, SPINEL, XENOLITH",-50.53,-72.65,54.535,0.08499999999999999,3.2199999999999998,0.23,9.704999999999998,0.22999999999999998,30.924999999999997,0.635,0.02,51.715,0.49,4.52,0.56,3.8049999999999997,0.12,15.504999999999999,22.265,0.75
[10160] WANG JIAN (2007),samp. BXE31-I,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"PERIDOTITE, SPINEL",-50.53,-72.65,54.81,0.06,3.7199999999999998,0.5,6.105,0.14,32.83,0.865,0.03,52.175,0.18,4.195,0.7949999999999999,2.86,0.08499999999999999,16.975,21.47,0.625
[10160] WANG JIAN (2007),samp. BXE35-I,CONVERGENT MARGIN,ANDEAN ARC / PATAGONIAN PLATEAU LAVAS / ARGENTINA / CERRO DEL FRAILE,"PERIDOTITE, SPINEL",-50.53,-72.65,55.480000000000004,0.05,3.59,0.395,5.885,0.135,33.31,0.72,0.035,52.735,0.18,4.14,0.69,2.535,0.09,17.075,21.89,0.715
[10168] ZHENG JIAN-PING (2001),samp. HB12,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE / HEBI VOLCANIC FIELD,"LHERZOLITE, AMPHIBOLE, XENOLITH",35.9,114.2,54.7,0.09,3.83,0.43,6.29,0.13,33.27,0.87,0.18,51.5,0.47,4.89,1.24,2.7,0.05,15.34,22.53,0.67
[10168] ZHENG JIAN-PING (2001),samp. HB22,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE / HEBI VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",35.9,114.2,57.0,0.01,2.36,0.79,4.84,0.11,34.35,1.07,0.04,53.3,0.02,2.45,1.19,2.22,0.06,17.87,21.61,0.49
[10168] ZHENG JIAN-PING (2001),samp. HB9,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE / HEBI VOLCANIC FIELD,"HARZBURGITE, SPINEL, XENOLITH",35.9,114.2,57.5,0.01,1.24,0.39,4.54,0.1,35.66,0.4,0.14,49.8,2.7,3.45,0.36,4.58,0.08,14.22,23.56,0.63
[10168] ZHENG JIAN-PING (2001),samp. HB92006,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE / HEBI VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",35.9,114.2,57.2,0.02,1.85,0.26,5.7,0.22,34.81,0.26,0.01,52.9,0.031,3.93,0.67,2.2,0.04,18.25,21.39,0.23
[10168] ZHENG JIAN-PING (2001),samp. HB92019,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE / HEBI VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",35.9,114.2,57.5,0.01,1.79,0.62,4.95,0.13,34.66,0.69,0.16,53.6,0.08,2.45,2.31,2.42,0.06,16.42,21.29,1.12
[10168] ZHENG JIAN-PING (2001),samp. HB92029,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE / HEBI VOLCANIC FIELD,"LHERZOLITE, XENOLITH",35.9,114.2,58.0,0.01,1.52,0.19,4.99,0.13,35.71,0.29,0.01,53.1,0.02,4.04,1.41,1.81,0.04,17.63,21.83,0.38
[10168] ZHENG JIAN-PING (2001),samp. HB92030,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE / HEBI VOLCANIC FIELD,"LHERZOLITE, XENOLITH",35.9,114.2,56.0,0.02,3.12,0.83,4.69,0.12,33.99,1.04,0.09,53.8,0.02,3.3,1.11,2.33,0.06,17.24,20.54,1.11
[10168] ZHENG JIAN-PING (2001),samp. HB92044,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE / HEBI VOLCANIC FIELD,"PYROXENITE, SPINEL, XENOLITH",35.9,114.2,58.0,0.01,1.46,0.46,5.05,0.13,34.9,0.72,0.19,54.4,0.11,3.03,2.11,2.35,0.05,15.85,20.47,1.89
[10168] ZHENG JIAN-PING (2001),samp. HB92047,INTRAPLATE VOLCANICS,CENTRAL ASIAN FOLDBELT - CENOZOIC/QUATERNARY / CHINA - CENOZOIC/QUATERNARY / HENAN PROVINCE / HEBI VOLCANIC FIELD,"LHERZOLITE, SPINEL, XENOLITH",35.9,114.2,55.3,0.06,4.37,0.66,4.54,0.11,33.7,0.91,0.12,52.4,0.15,6.28,1.09,2.42,0.11,15.9,19.82,1.62
[10186] SENDA R. (2007),samp. K-2,CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU,"HARZBURGITE, XENOLITH",33.7,130.27,56.1,0.05,3.25,0.53,5.82,0.14,33.1,0.93,0.03,53.2,0.1,3.2,0.68,2.56,0.07,17.3,22.3,0.24
[10186] SENDA R. (2007),samp. K-5,CONVERGENT MARGIN,HONSHU ARC / SOUTHWESTERN HONSHU ARC / KYUSHU,"HARZBURGITE, XENOLITH",33.7,130.27,56.0,0.02,2.77,0.55,5.58,0.13,33.8,0.93,0.02,53.1,0.09,2.88,0.75,2.5,0.09,17.7,22.1,0.28
[10211] BALI E. (2007),samp. SZB36,INTRAPLATE VOLCANICS,CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONI / BAKONY-BALATON HIGHLANDS / SZENTBEKKALLA,"WEBSTERITE, XENOLITH",46.88,17.57,56.7,0.02,2.16,0.67,5.59,0.13,34.4,0.87,0.11,53.7,0.03,3.39,1.74,2.81,0.09,16.9,20.6,1.42
[10211] BALI E. (2007),samp. SZB59/1,INTRAPLATE VOLCANICS,CARPATHIAN BELT AND PANNONIAN BASIN / EASTERN ALPINE-WESTERN CARPATHIAN-NORTHERN PANNONI / BAKONY-BALATON HIGHLANDS / SZENTBEKKALLA,"WEBSTERITE, XENOLITH",46.88,17.57,56.3,0.02,2.79,0.65,5.77,0.13,34.4,0.87,0.04,53.4,0.04,3.22,1.1,2.75,0.07,17.6,22.1,0.7
[10286] BIZIMIS M. (2007),samp. 114744-1,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"LHERZOLITE, XENOLITH",21.34,-157.92,54.8,0.12,4.52,0.35,6.39,0.17,33.89,0.57,0.12,51.51,0.53,6.5,0.72,3.02,0.1,15.24,19.73,1.95
[10286] BIZIMIS M. (2007),samp. 114744-2B,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"LHERZOLITE, XENOLITH",21.34,-157.92,52.61,0.12,3.79,0.31,7.15,0.15,36.58,0.4,0.05,51.87,0.79,6.23,0.66,3.04,0.1,15.15,20.74,1.66
[10286] BIZIMIS M. (2007),samp. 114886-3,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"LHERZOLITE, XENOLITH",21.34,-157.92,54.94,0.07,3.57,0.4,6.77,0.16,33.99,0.51,0.06,52.11,0.29,4.64,0.8,3.19,0.12,15.79,21.68,1.35
[10286] BIZIMIS M. (2007),samp. 114886-4,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"LHERZOLITE, XENOLITH",21.34,-157.92,55.08,0.08,4.31,0.38,6.15,0.15,34.07,0.49,0.08,52.45,0.42,5.55,0.71,3.01,0.09,15.46,20.55,1.62
[10286] BIZIMIS M. (2007),samp. 114908-1,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"LHERZOLITE, XENOLITH",21.34,-157.92,53.97,0.09,4.38,0.37,6.48,0.16,33.88,0.61,0.08,50.79,0.44,6.24,0.88,2.99,0.09,15.21,20.99,1.63
[10286] BIZIMIS M. (2007),samp. 114908-2,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"LHERZOLITE, XENOLITH",21.34,-157.92,53.49,0.05,3.39,0.28,6.95,0.17,35.89,0.41,0.11,52.39,0.41,3.71,1.17,3.28,0.09,17.32,21.34,0.54
[10286] BIZIMIS M. (2007),samp. 114908-20,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"LHERZOLITE, XENOLITH",21.34,-157.92,55.21,0.08,3.45,0.43,5.81,0.14,34.64,0.53,0.07,52.33,0.25,4.61,0.86,2.77,0.09,16.17,21.36,1.3
[10286] BIZIMIS M. (2007),samp. 114908-21,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"LHERZOLITE, XENOLITH",21.34,-157.92,55.04,0.09,4.28,0.45,6.23,0.13,33.87,0.55,0.09,52.19,0.4,6.06,0.93,2.88,0.08,15.34,20.38,1.69
[10286] BIZIMIS M. (2007),samp. 114908-3,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"LHERZOLITE, XENOLITH",21.34,-157.92,54.84,0.09,4.32,0.29,6.7,0.17,33.71,0.52,0.09,52.03,0.52,6.03,0.67,3.28,0.1,15.21,20.61,1.65
[10286] BIZIMIS M. (2007),samp. 114908-5,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"LHERZOLITE, XENOLITH",21.34,-157.92,55.22,0.04,4.08,0.44,6.33,0.15,34.04,0.58,0.08,52.7,0.17,4.91,0.77,2.94,0.09,15.99,21.11,1.37
[10286] BIZIMIS M. (2007),samp. NMNH114745-2,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,54.84,0.13,4.47,0.56,6.32,0.16,33.44,0.76,0.14,52.18,0.59,6.45,1.05,3.11,0.1,15.54,19.09,2.01
[10286] BIZIMIS M. (2007),samp. NMNH114745-3,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,54.07,0.17,4.43,0.56,6.88,0.16,33.14,0.74,0.13,51.56,0.76,6.86,1.1,3.53,0.11,15.85,18.11,2.02
[10286] BIZIMIS M. (2007),samp. NMNH114989-2,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,55.19,0.07,3.37,0.53,5.8,0.15,34.2,0.68,0.05,52.4,0.25,4.27,1.07,2.54,0.09,16.49,21.7,1.08
[10286] BIZIMIS M. (2007),samp. NMNH114989-3,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,54.75,0.11,5.05,0.55,6.1,0.16,33.04,0.68,0.19,52.13,0.31,6.51,1.03,2.95,0.09,15.23,19.15,2.37
[10286] BIZIMIS M. (2007),samp. NMNH114989-36,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,55.05,0.02,4.07,0.63,5.7,0.16,34.06,0.85,0.09,52.69,0.1,4.72,1.07,2.53,0.1,16.24,21.23,1.34
[10286] BIZIMIS M. (2007),samp. NMNH114989-37,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,55.09,0.25,3.12,0.48,7.96,0.15,32.53,0.73,0.12,51.21,0.86,5.45,1.18,3.74,0.11,15.17,19.38,2.16
[10286] BIZIMIS M. (2007),samp. NMNH114989-38,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,55.26,0.13,3.94,0.67,5.6,0.13,33.96,0.84,0.11,51.7,0.46,5.27,1.4,2.67,0.09,16.26,20.53,1.58
[10286] BIZIMIS M. (2007),samp. NMNH114989-4,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,54.94,0.09,4.1,0.57,5.85,0.15,34.09,0.72,0.13,52.61,0.35,6.23,1.0,2.88,0.1,14.97,19.7,2.19
[10286] BIZIMIS M. (2007),samp. NMNH115048-1,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,56.12,0.04,2.33,0.72,7.02,0.15,33.47,0.88,0.15,54.19,0.16,3.56,1.49,3.51,0.09,16.21,19.32,2.03
[10286] BIZIMIS M. (2007),samp. NMNH115048-2,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,55.08,0.06,3.5,0.58,7.26,0.17,32.93,0.58,0.17,53.62,0.19,5.19,1.25,3.19,0.11,14.99,18.97,2.59
[10286] BIZIMIS M. (2007),samp. NMNH115048-25,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,55.78,0.03,3.46,0.53,5.87,0.15,34.19,0.59,0.14,53.69,0.19,5.14,1.23,2.82,0.09,15.57,19.42,2.48
[10286] BIZIMIS M. (2007),samp. NMNH115048-26,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,55.43,0.05,3.67,0.71,5.26,0.16,34.41,0.66,0.15,53.48,0.17,5.25,1.55,2.49,0.08,15.46,19.22,2.41
[10286] BIZIMIS M. (2007),samp. NMNH115048-3,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,55.81,0.16,2.42,0.7,5.45,0.14,34.62,0.87,0.15,53.21,0.64,4.44,1.82,2.6,0.1,15.99,19.41,2.05
[10286] BIZIMIS M. (2007),samp. NMNH115048-4,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,55.63,0.03,2.44,0.76,7.34,0.15,33.08,0.94,0.19,54.04,0.17,3.73,1.57,3.72,0.11,16.18,19.07,2.21
[10286] BIZIMIS M. (2007),samp. NMNH115048-5,OCEAN ISLAND,HAWAIIAN ISLANDS / OAHU / KOOLAU / REJUVENATED STAGE / HONOLULU SERIES,"PERIDOTITE, SPINEL, XENOLITH",21.34,-157.92,55.35,0.07,4.08,0.52,5.69,0.16,33.88,0.7,0.08,52.64,0.29,5.37,1.11,2.67,0.1,16.05,21.14,1.42
[10287] AGRANIER A. (2007),samp. DISH HILL 120,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / DISH HILL CINDER CONE,"PERIDOTITE, SPINEL, XENOLITH",34.75,-115.0,53.3,0.08,7.0,0.2,7.0,0.2,31.5,0.7,0.08,50.5,0.45,8.4,0.3,3.4,0.12,14.8,20.3,1.0
[10287] AGRANIER A. (2007),samp. DISH HILL 18,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / DISH HILL CINDER CONE,"PERIDOTITE, SPINEL, XENOLITH",34.75,-115.0,54.6,0.09,4.8,0.3,6.7,0.11,32.4,0.8,0.11,50.7,0.7,7.3,0.6,3.4,0.07,15.1,19.7,1.5
[10287] AGRANIER A. (2007),samp. DISH HILL 25,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / DISH HILL CINDER CONE,"PERIDOTITE, SPINEL, XENOLITH",34.75,-115.0,55.4,0.06,4.1,0.3,5.9,0.15,33.6,0.6,0.09,51.9,0.4,6.1,0.8,2.7,0.1,15.4,20.6,1.3
[10287] AGRANIER A. (2007),samp. DISH HILL 32,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / DISH HILL CINDER CONE,"PERIDOTITE, SPINEL, XENOLITH",34.75,-115.0,55.2,0.06,3.2,0.5,7.8,0.22,32.0,0.9,0.11,52.8,0.08,4.5,1.0,3.8,0.14,16.1,20.0,1.2
[10287] AGRANIER A. (2007),samp. DISH HILL 6,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / DISH HILL CINDER CONE,"PERIDOTITE, SPINEL, XENOLITH",34.75,-115.0,54.1,0.1,4.7,0.4,7.3,0.18,32.0,0.9,0.1,51.3,0.3,6.5,0.9,3.8,0.13,15.3,19.6,1.4
[10287] AGRANIER A. (2007),samp. DISH HILL 9,RIFT VOLCANICS,BASIN AND RANGE - GREAT BASIN / GREAT BASIN / CALIFORNIA / DISH HILL CINDER CONE,"PERIDOTITE, SPINEL, XENOLITH",34.75,-115.0,54.1,0.11,5.3,0.4,6.3,0.11,32.2,1.0,0.14,50.9,0.5,7.2,0.8,3.6,0.11,15.9,18.9,1.4
[10315] LE MASURIER W. E. (1990),samp. 17C,RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT HAMPTON,"WEBSTERITE, XENOLITH",-76.5,-126.0,51.26,0.3,5.17,0.05,15.04,0.28,25.68,1.0,0.05,48.13,1.23,7.56,0.08,8.1,0.18,13.64,20.2,0.98
[10315] LE MASURIER W. E. (1990),samp. 31B,RIFT VOLCANICS,ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / MARIE BYRD LAND / MOUNT HAMPTON,"LHERZOLITE, SPINEL, XENOLITH",-76.5,-126.0,54.95,0.12,4.24,0.24,5.95,0.07,33.34,0.72,0.1,52.5,0.53,6.25,0.74,2.6,0.08,15.62,20.86,1.38
[10325] LUSTRINO M. (1999),samp. MGL22,CONVERGENT MARGIN,LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / SOUTHERN SARDINIA / GERREI VOLCANIC DISTRICT,"PERIDOTITE, XENOLITH",39.78,8.83,55.03,0.03,3.66,0.26,5.73,0.18,33.97,0.88,0.04,52.45,0.36,5.85,0.93,2.24,0.06,15.46,21.27,1.28
